blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
23976148,1765294595,0x0b9fcb5b84a418c2719ba8cb800f05120b38f920487abb13c6edca34a169f369,3,0x71715cb6779586364b11be26347ca7254da466b8b22bbabfcef66bf4d7bce6b2,0x0000000000000000000000000000000000000000,0xb1110919016846972056ab995054d65560d5f05e,0xa31c18d0e9ebab1cb4d4b96193dcb44058f4bb75,10000000000000000000000000000,Billions Network Token,BILL,18,115,854994,284737873,839335,10680528,deprecated,0x00000000,buyAndFree22457070633(uint256 amount),1085345
24498153,1771591583,0xbc380f94f63f7a1da3f2278494c4aa1fdce895c693423d68bfd4d47c46c114ab,64,0xc781abc02a595fac8785a5d914cad91fd3294c9ee63c789c7b22baebca796ba4,0xa31c18d0e9ebab1cb4d4b96193dcb44058f4bb75,0xb1110919016846972056ab995054d65560d5f05e,0x11f62ef52fee240299c960471a32ce1a2bdea97a,1,Billions Network Token,BILL,18,85,96651,122275913,94732,6440200,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",563340
24498181,1771591919,0xba08bd116c6d3443bc5d6c43bc43e51b3a4e142eb3ab3f95e281a28f85078206,49,0x5394bc42c6f4942564a6f0246986913f7f2ce40ec972f9abdff4b78fcc98660b,0x11f62ef52fee240299c960471a32ce1a2bdea97a,0xb1110919016846972056ab995054d65560d5f05e,0x2a3dd3eb832af982ec71669e178424b10dca2ede,1,Billions Network Token,BILL,18,29,288309,2044102613,247011,12699240,deprecated,0xcd586579,"bridgeAsset(uint32 destinationNetwork,address destinationAddress,uint256 amount,address token,bool forceUpdateGlobalExitRoot,bytes permitData)",563312
24499493,1771607723,0x51c0191e119b3e44a40bb270aa6e09b441e091f3bca1be71facd62ee60743bcb,50,0x5e67c38a11175a5dc0398c75c7961a70ff9c460278dd6c781a2f742f7d9b06c9,0x2a3dd3eb832af982ec71669e178424b10dca2ede,0xb1110919016846972056ab995054d65560d5f05e,0x11f62ef52fee240299c960471a32ce1a2bdea97a,1,Billions Network Token,BILL,18,176,155807,2140943245,143473,25376377,deprecated,0xccaa2d11,"claimAsset(bytes32[32] smtProofLocalExitRoot,bytes32[32] smtProofRollupExitRoot,uint256 globalIndex,bytes32 mainnetExitRoot,bytes32 rollupExitRoot,uint32 originNetwork,address originTokenAddress,uint32 destinationNetwork,address destinationAddress,uint256 amount,bytes metadata)",562000
24534041,1772023835,0xb4f13aac1b5b1fe1cf5074fa8d1d01085e4c84289f1d0ddc537ec51f030bc28c,55,0x25e6a48ba6c7743367d54e8a7c7b60f6ef3122013dfe6d4f8fcb395fe94c7226,0x11f62ef52fee240299c960471a32ce1a2bdea97a,0xb1110919016846972056ab995054d65560d5f05e,0xa31c18d0e9ebab1cb4d4b96193dcb44058f4bb75,1,Billions Network Token,BILL,18,184,59910,2194569371,34605,28752744,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",527452
24670317,1773667187,0xfd1f9df8199c0cf0b6e5799e047f9df237c45dee996bb985b8a26ff5101d1233,5,0xe906265bcd28e79f88e742fe549c7ab6e0825af75241f5eb0dd912599d3f02b0,0xa31c18d0e9ebab1cb4d4b96193dcb44058f4bb75,0xb1110919016846972056ab995054d65560d5f05e,0x3b57d2b24e616aeb259a1b9f8ee006a8f9d5576b,1250000000000000000000,Billions Network Token,BILL,18,77,91942,297955551,90998,3286768,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",391176
24671411,1773680363,0x8c6c3f0fae727059ea67417cc702f04c467277c8d2b252054c8ecfff0d768b5e,0,0xadd122ebdb97498b8ab06b6abbf4413045bda3b998d9872b1dd9a631fdad9164,0x3b57d2b24e616aeb259a1b9f8ee006a8f9d5576b,0xb1110919016846972056ab995054d65560d5f05e,0x03fd80a5f08726aa1030ddf3a137b90dc75af872,200000000000000000000,Billions Network Token,BILL,18,50,71730,410278809,56577,3241228,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",390082
24671416,1773680423,0xa2395e37dc929a7a4a338833aec3a29b63d8bb02fbb6f54289834865cde72053,1,0x45b5aefa028515a15ad6d77e7d6103b7bc5e1a55e0444084b2d1ef9b27c437c0,0x3b57d2b24e616aeb259a1b9f8ee006a8f9d5576b,0xb1110919016846972056ab995054d65560d5f05e,0xc9e24dcce67a876e9d29fb15e565363326d02524,300000000000000000000,Billions Network Token,BILL,18,110,71730,367476562,56577,6068452,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",390077
24671435,1773680651,0xbd6184c64cb5fc7b5efff4486b6e32cbf2e5a9687f95fc27e10d95b3e74445ac,0,0x599d4b97b726454e60b65363fed70c851315539d879fa9654cc12bfc4615d358,0x03fd80a5f08726aa1030ddf3a137b90dc75af872,0xb1110919016846972056ab995054d65560d5f05e,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,200000000000000000000,Billions Network Token,BILL,18,59,57299,1284217765,51777,15876661,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",390058
24671435,1773680651,0x2ce786416a268b25132a9ce9a7e1ac2eb511e728bd80535c3293ea26d9de6c8f,0,0x599d4b97b726454e60b65363fed70c851315539d879fa9654cc12bfc4615d358,0xc9e24dcce67a876e9d29fb15e565363326d02524,0xb1110919016846972056ab995054d65560d5f05e,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,300000000000000000000,Billions Network Token,BILL,18,82,57299,1284217765,34677,19868958,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",390058
24671456,1773680903,0x87ae3c78fca943c3937a59b0c21dbed47a78067b75f29134626d41521c77c7d4,3204194,0x9854190d82c785e05019f6a13621b308b59c4e6d82b53cbd093ae69738968ce9,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xb1110919016846972056ab995054d65560d5f05e,0x3b57d2b24e616aeb259a1b9f8ee006a8f9d5576b,80000000000000000000,Billions Network Token,BILL,18,82,2000000,1277769542,690100,4508328,deprecated,0xca350aa6,,390037
