blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
10304015,1592674469,0x8a3124fcf96a9209f29396eb4f606929b673b2df6cd234657351553a2db40eae,7,0xdd540063643e97d962f03c6813b3f9221ebe31440e2aa2eec48e90e9065a68a2,0x0000000000000000000000000000000000000000,0xba100000625a3754423978a60c9317c58a424e3d,0xcdcebf1f28678eb4a1478403ba7f34c94f7ddbc5,25000000000000000000000000,Balancer,BAL,18,57,177972,27000000000,98942,5337780,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",14757475
10304748,1592684616,0x8b8d78cd753e5781ea39fd01b8f8613df31ba0abae56507d53bf53d7fcef4c7a,8,0xe73c3a85c97052fa04615fe551654abce8702b073bdf95637032682cecaad7c6,0xcdcebf1f28678eb4a1478403ba7f34c94f7ddbc5,0xba100000625a3754423978a60c9317c58a424e3d,0xfac58bcb27dabe2077aa807fc47b91f6646d4b90,157500000000000000000000,Balancer,BAL,18,16,154045,24000000000,83241,867404,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",14756742
10304781,1592684994,0xc419b389457dfac716444e3fcdc1892b10a713f44c83abdc29b8b320798114a2,9,0xebb3d06c40e2ebaa83d5eaffa642f11fb2d00517e7453bd0dd657c6708ec7725,0xfac58bcb27dabe2077aa807fc47b91f6646d4b90,0xba100000625a3754423978a60c9317c58a424e3d,0xaa857ddce7b5b9cb17296c790cb40e8c11a3d4f0,7015649039869249729,Balancer,BAL,18,20,140892,36000000000,93928,692776,deprecated,0x19165587,release(address token),14756709
10310638,1592763357,0xce277d22fb56807633e0075e6d8ca72b7e7ee1b041420177bd5aa8c6b07b404c,11,0x654ec87682420a84081f37811f51e0e4f4c6c9d88b0d285422babc9d832cf88b,0xcdcebf1f28678eb4a1478403ba7f34c94f7ddbc5,0xba100000625a3754423978a60c9317c58a424e3d,0xd152f549545093347a162dce210e7293f1452150,22342500000000000000000000,Balancer,BAL,18,46,10000000,25000000000,3474934,5011926,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",14750852
10310638,1592763357,0xce277d22fb56807633e0075e6d8ca72b7e7ee1b041420177bd5aa8c6b07b404c,11,0x654ec87682420a84081f37811f51e0e4f4c6c9d88b0d285422babc9d832cf88b,0xd152f549545093347a162dce210e7293f1452150,0xba100000625a3754423978a60c9317c58a424e3d,0x942eca417236c4b23b17720716aaa0cc92b0b28f,125000000000000000000000,Balancer,BAL,18,46,10000000,25000000000,3474934,5011926,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",14750852
10310638,1592763357,0xce277d22fb56807633e0075e6d8ca72b7e7ee1b041420177bd5aa8c6b07b404c,11,0x654ec87682420a84081f37811f51e0e4f4c6c9d88b0d285422babc9d832cf88b,0xd152f549545093347a162dce210e7293f1452150,0xba100000625a3754423978a60c9317c58a424e3d,0x1090cdfd5e7aac76248665d530b0a63d4da3f9a5,375000000000000000000000,Balancer,BAL,18,46,10000000,25000000000,3474934,5011926,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",14750852
10310638,1592763357,0xce277d22fb56807633e0075e6d8ca72b7e7ee1b041420177bd5aa8c6b07b404c,11,0x654ec87682420a84081f37811f51e0e4f4c6c9d88b0d285422babc9d832cf88b,0xd152f549545093347a162dce210e7293f1452150,0xba100000625a3754423978a60c9317c58a424e3d,0xad3787b9e196804ac0be7cd6bd8a648acd60e1df,125000000000000000000000,Balancer,BAL,18,46,10000000,25000000000,3474934,5011926,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",14750852
10310638,1592763357,0xce277d22fb56807633e0075e6d8ca72b7e7ee1b041420177bd5aa8c6b07b404c,11,0x654ec87682420a84081f37811f51e0e4f4c6c9d88b0d285422babc9d832cf88b,0xd152f549545093347a162dce210e7293f1452150,0xba100000625a3754423978a60c9317c58a424e3d,0x4d34c08f9bed000df0fdee895fceca5373b39daf,375000000000000000000000,Balancer,BAL,18,46,10000000,25000000000,3474934,5011926,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",14750852
10310638,1592763357,0xce277d22fb56807633e0075e6d8ca72b7e7ee1b041420177bd5aa8c6b07b404c,11,0x654ec87682420a84081f37811f51e0e4f4c6c9d88b0d285422babc9d832cf88b,0xd152f549545093347a162dce210e7293f1452150,0xba100000625a3754423978a60c9317c58a424e3d,0x6c1050226e3bd757e950141d3052c029c92c5768,125000000000000000000000,Balancer,BAL,18,46,10000000,25000000000,3474934,5011926,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",14750852
10310638,1592763357,0xce277d22fb56807633e0075e6d8ca72b7e7ee1b041420177bd5aa8c6b07b404c,11,0x654ec87682420a84081f37811f51e0e4f4c6c9d88b0d285422babc9d832cf88b,0xd152f549545093347a162dce210e7293f1452150,0xba100000625a3754423978a60c9317c58a424e3d,0xc0735dc9bd6a7d16826dbce01863970cf3881397,375000000000000000000000,Balancer,BAL,18,46,10000000,25000000000,3474934,5011926,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",14750852
