blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
20639134,1724993675,0x1e000e4064c314f4eee341918639bf30f833f4e4678c547e77feebbe15d598bd,0,0xd4c59531ebb0e09af66a4d4c125c5aaf3add3a2610973ac94fd4634f34ee8354,0x0000000000000000000000000000000000000000,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x3cd751e6b0078be393132286c442345e5dc49699,10,Coinbase Wrapped BTC,cbBTC,8,110,150000,731890235,109863,9919115,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",4422366
20639258,1724995163,0x09972c97951b548f4654b118c2e5bdd5fb8d8236d099e2db3208e4bc0eb78882,1,0x557fff6ec8ac6d31390caba9a572bc7ba53238c754c5ca0bd6d64066f8d8d0bb,0x0000000000000000000000000000000000000000,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x3cd751e6b0078be393132286c442345e5dc49699,1000000,Coinbase Wrapped BTC,cbBTC,8,74,150000,923245582,86714,6571862,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",4422242
20643099,1725041459,0x88af734469507abd69260a6c83d14ddee72fb70318ef5232db3e456bca37c8a3,9544496,0xd04e083ef1289973ddfaa5e988ad5eb5f184556af6e4935851176d4f56af2e7e,0x3cd751e6b0078be393132286c442345e5dc49699,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x110877e7d4aa29bdad04606d2b5d5cd093efcc29,3443,Coinbase Wrapped BTC,cbBTC,8,51,250000,2422874223,65626,6402894,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",4418401
20643114,1725041639,0x21cfb95f79fdd18ee388714c3d581c0d2371a10487764c0a46ab7036348f486b,9544497,0x0bc1f73c08a89e5487a7cc39ed57d6647a8e0abb70fa869caa52b808261beb34,0x3cd751e6b0078be393132286c442345e5dc49699,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x110877e7d4aa29bdad04606d2b5d5cd093efcc29,2592,Coinbase Wrapped BTC,cbBTC,8,53,250000,2274320221,48526,4268157,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",4418386
20643117,1725041675,0x50cb5866a8d573056db8ec8677d6611ed9657f19a2cad04053dee351637383ff,9544498,0x8de72948fb6f056fa304d1718406ae193e5cabd80d3abe4697447ababf82c52c,0x3cd751e6b0078be393132286c442345e5dc49699,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x638b4179b61a2440893a068ded225260f4aa943b,13771,Coinbase Wrapped BTC,cbBTC,8,67,250000,2146549556,65626,6520312,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",4418383
20643120,1725041711,0x002aab7a4e711b707a4e5bbd641db7eead05ba3f765ffefddd34a049943a08b5,9544499,0x4e02c2ba5df88c07616038fd7e8f19e0244fc27023e059f28d2084f741fef32f,0x3cd751e6b0078be393132286c442345e5dc49699,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x25900f51e3d15d37518eccb5af9f2029925f7f74,15840,Coinbase Wrapped BTC,cbBTC,8,60,250000,2386889699,65626,6968393,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",4418380
20646143,1725078251,0x2bdf1a4e66bb310f3cd84358282dee530c72be2f65a78eb67bb6e3204f3be872,2,0xfb6f0561f8ba29272698ef8278e4ddd9b8b456d06cb42cdab4aadc9601755d65,0x0000000000000000000000000000000000000000,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,100000,Coinbase Wrapped BTC,cbBTC,8,86,150000,806329879,103814,21067445,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",4415357
20650301,1725128387,0x8a096ca3931029b5e01572034904f36591a8de0c3c8135b227b4a2f9c5fa7e43,3,0x07544834d5f83391bb3a86aa0c136cdfff1a424561f6baaf22f82f6c553d8d00,0x0000000000000000000000000000000000000000,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,1180000,Coinbase Wrapped BTC,cbBTC,8,13,150000,1821851535,86714,1654623,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",4411199
20650308,1725128471,0x0f9a4ac4254a9e2e8f10b9eb682ae9c3b0a116c690c6290fb3a193c01c0e39e9,1700519,0xd710590f03c0a7882b91f385da0da4aff1553f0e2cb39aa507737c72e5750954,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x9a9658dd9c24310ceaf4746c16680fff0f75ac28,1186655,Coinbase Wrapped BTC,cbBTC,8,84,2000000,1792709889,582843,11929879,deprecated,0xca350aa6,,4411192
20650363,1725129143,0x36fc69bf6e84bac6e94e173e1e3b289425660908e59993f14f82641d244ef5ca,5,0x64c23a3660121acb86218d1735dc58acb2aedb254491049e1a9ef2e818fb8c43,0x9a9658dd9c24310ceaf4746c16680fff0f75ac28,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0xd6dd70dc7048527fb5e288b35089eec4b799f276,1186655,Coinbase Wrapped BTC,cbBTC,8,119,83073,682543499,60838,18966469,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",4411137
20671149,1725379751,0xc60198d7e445a5dbeb09dafe564f906e332c4664a5b494e5545c8c04ddec0f72,1707425,0x269ff88260df910f66c44fbd114beac6f7098c30715b0bf1b66fa9160a3ecb7d,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x2063a7a71efec51228377e87bb69c5d85aa6a888,2600,Coinbase Wrapped BTC,cbBTC,8,87,2000000,4653714392,672544,9698982,deprecated,0xca350aa6,,4390351
