blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
11937364,1614402196,0xf7d3add56c4d32c13b1a00e81bad375b7ea8e48d56032408bb670ce16c3ef3e9,18,0x971764801ba1a4c3e8589548a8b10092f5d7eb66ad083a2cb5d422623de94a9e,0x0000000000000000000000000000000000000000,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0x51e029a5ef288fb87c5e8dd46895c353ad9aaaec,478612000000000000000000,Alchemix,ALCX,18,77,67023,100000000000,67023,3371800,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",12975348
11937813,1614408204,0xfaf8cbde4532692bab35b051af4046b4f7b2b488ef3a2c64ce04a92b5cc94008,48,0xf68b60b4b08710f4d139399f06b530c1655c40c22271f0b2577a27a50c2b3c1a,0x0000000000000000000000000000000000000000,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0x51e029a5ef288fb87c5e8dd46895c353ad9aaaec,478612000000000000000000,Alchemix,ALCX,18,2,37023,200000000000,37023,152095,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",12974899
11937850,1614408755,0xec7c95f4991491e479a02728fbd31d763013ebbc3e3f48c82f09c54325fe33c0,52,0xbb474b024ef8cd9a89261f29a6c7d75805a85fa16d5b9795b1fd36253767c506,0x51e029a5ef288fb87c5e8dd46895c353ad9aaaec,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0xc3f279090a47e80990fe3a9c30d24cb117ef91a8,32000000000000000000000,Alchemix,ALCX,18,7,310312,200000000000,240122,1544138,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12974862
11937850,1614408755,0x366804f95ff0d7d4eb32eb60c76b3119873ab8099de6eb4843fc50b13274f961,171,0xbb474b024ef8cd9a89261f29a6c7d75805a85fa16d5b9795b1fd36253767c506,0xc3f279090a47e80990fe3a9c30d24cb117ef91a8,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0x4c990aab5d7be2811a4a264314f31c43844ca1d1,15459861088677111936682,Alchemix,ALCX,18,8,450000,200000000000,149250,1693388,deprecated,0x8119c065,swap(),12974862
11937850,1614408755,0xf410e21c05dcdb37d719bf262021db96155fcd519aad0eeede4dec1e514f3671,41,0xbb474b024ef8cd9a89261f29a6c7d75805a85fa16d5b9795b1fd36253767c506,0xc3f279090a47e80990fe3a9c30d24cb117ef91a8,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0x6b40ea942e2e6bc5c0e11ce4652ce080f96916d0,261766726901105122452,Alchemix,ALCX,18,21,400000,200000000000,126373,2448489,deprecated,0xa6f2ae3a,buy(),12974862
11937850,1614408755,0x030b33be13e6973a74ead0b2f3b08085ba9f64dcbd34d8ea9911576cba0e8392,7,0xbb474b024ef8cd9a89261f29a6c7d75805a85fa16d5b9795b1fd36253767c506,0xc3f279090a47e80990fe3a9c30d24cb117ef91a8,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0x6b40ea942e2e6bc5c0e11ce4652ce080f96916d0,253598404110638273544,Alchemix,ALCX,18,22,400000,200000000000,111373,2559862,deprecated,0xa6f2ae3a,buy(),12974862
11937850,1614408755,0xe859688158f94710c884ada001c22de255fdb9d5fe130b59fd204a1aaf193db6,7,0xbb474b024ef8cd9a89261f29a6c7d75805a85fa16d5b9795b1fd36253767c506,0xc3f279090a47e80990fe3a9c30d24cb117ef91a8,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0x6b40ea942e2e6bc5c0e11ce4652ce080f96916d0,245806721217444054853,Alchemix,ALCX,18,28,400000,200000000000,111373,2933205,deprecated,0xa6f2ae3a,buy(),12974862
11937852,1614408782,0xe9b7a2760f35b51ec9c6a492de6e2f445eabdfba02ad4e95bc2512646666efb8,12464,0xa40c88b2bb4ebbab3cdea7c27c71d8041fb967e0c443bba39e791d99cf3e8998,0xc3f279090a47e80990fe3a9c30d24cb117ef91a8,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0x7d92ad7e1b6ae22c6a43283af3856028cd3d856a,2895064872330520985430,Alchemix,ALCX,18,0,486400,1,155479,155479,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12974860
11937852,1614408782,0x9f254fd56885caf4c834b7cb037a7b2d4af1066c404b3bf48a05a52fc2af4ada,1053,0xa40c88b2bb4ebbab3cdea7c27c71d8041fb967e0c443bba39e791d99cf3e8998,0xc3f279090a47e80990fe3a9c30d24cb117ef91a8,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0xd9ed88862f0ebec8750e0c34d5985a1b87e85ed9,314666009352043817174,Alchemix,ALCX,18,1,299686,298000000000,113319,268798,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12974860
11937852,1614408782,0xdb16964786a4a56e010c418a3d63d058bbcb50563db94b4da3473cd6bc4bc550,12466,0xa40c88b2bb4ebbab3cdea7c27c71d8041fb967e0c443bba39e791d99cf3e8998,0x7d92ad7e1b6ae22c6a43283af3856028cd3d856a,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0xc3f279090a47e80990fe3a9c30d24cb117ef91a8,2895064872330520985430,Alchemix,ALCX,18,3,486400,1,101708,415060,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12974860
