blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
24272625,1768871555,0x02647c63b2dc3873c0cc42d2d896e7847a341fc9102dd3ad61121d9d56c549ea,264,0x08f9423a3bcca5139f65c5792de0bb0d8b4fbc956b09361d81a9e2e57b25ceb4,0x0000000000000000000000000000000000000000,0xdef1b2d939edc0e4d35806c59b3166f790175afe,0x2aa45ce481cbe02e547fea0a0a5edaf58100804d,10000000000000000000000000000,Infinex,INX,18,148,1343569,36973055,972720,14950495,deprecated,0x00000000,buyAndFree22457070633(uint256 amount),788915
24300610,1769208983,0xd1f9abf76c0790188b0408d07b5b1be7861a61bbe2fe14d8ef390d7ccf3be131,7,0x136373f410e7bc3b95bf56998b90609957d7561b9bf9fddeab2d97804b64d357,0x2aa45ce481cbe02e547fea0a0a5edaf58100804d,0xdef1b2d939edc0e4d35806c59b3166f790175afe,0x8a026d60ab93989131c430c4181cf36344914059,50000000000000000000000,Infinex,INX,18,22,148217,591571300,96875,3747686,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",760930
24300809,1769211383,0x5c68af006ef7207f9724b7e6ca15c5db2c22b2ed18488a3e26cec73ea7d1f392,0,0xa8a2cadbdc0278d821e2715c743ce15769d41f45d6985b33fad55d589745fb14,0x8a026d60ab93989131c430c4181cf36344914059,0xdef1b2d939edc0e4d35806c59b3166f790175afe,0xa23bae4a1a501f87101d6572fde0d2cba6761487,5000000000000000000000,Infinex,INX,18,114,78014,54764722,51616,14013547,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",760731
24300815,1769211455,0x8c703120cdcb44eed99cf8a2fa7b6f00e85e450f2934f6abdca678c3087d4e5f,1,0x53fa4a5e5a22834d8ddc9b65cea28984f6f75c853377aca0bbc0e8225b85de2f,0x8a026d60ab93989131c430c4181cf36344914059,0xdef1b2d939edc0e4d35806c59b3166f790175afe,0x72e93123e8b5d168246739cdc45360ea11209364,1000000000000000000000,Infinex,INX,18,134,77996,51861985,51604,29213843,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",760725
24323166,1769480723,0x0e1c1f58f81d0cb18d7efb8412d77c74a61685eeff6e93047f5fb8433ccd2d9c,2,0x61b773881c317103f4e15cc53b5fe9f33b5d8846d40fab531da0bdd09a436845,0x8a026d60ab93989131c430c4181cf36344914059,0xdef1b2d939edc0e4d35806c59b3166f790175afe,0x18335c378285588c6c70090b327f64858478094c,10000000000000000000,Infinex,INX,18,146,77978,64487734,51592,8583844,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",738374
24324571,1769497655,0xcf96dd1801452a132161c55845b0cb7c24cb21f01a547235bb93bb25402934e8,4,0x7b355ee3f43856e5be721fb5e71b7218851c5332f42e3bbc3aa61f02b9e9be55,0x2aa45ce481cbe02e547fea0a0a5edaf58100804d,0xdef1b2d939edc0e4d35806c59b3166f790175afe,0x7cd12fa0bd8ea7c0cd024df717260782e791a3d8,500000000000000000000000000,Infinex,INX,18,132,141102,39036300,93116,17219748,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",736969
24324594,1769497931,0xa0cf90615f13951a1f601b802263448cee2c46cf4c42fe4d4557a092bffa7178,5,0xaf99e4d2b64d275e07066a6e81a6f6dd0bb1b4847e87d2588c43ac92dc8c692d,0x2aa45ce481cbe02e547fea0a0a5edaf58100804d,0xdef1b2d939edc0e4d35806c59b3166f790175afe,0xc2bff3279fa2bc94118d8b8ec94e33281e7c5c8f,1000000000000000000000000000,Infinex,INX,18,105,141102,38787149,93116,24344456,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",736946
24324612,1769498147,0x20979bd04acf258a9007a239b3e8014ee341cacfb92fbbf7d20cecdba6baf85d,6,0x5daacc2f54e82430b0b3a9c327b0a599d184527c16569c142cbfc6e33151f138,0x2aa45ce481cbe02e547fea0a0a5edaf58100804d,0xdef1b2d939edc0e4d35806c59b3166f790175afe,0x3d6199c6f6091fb215c1a1c906b08a4bfcc3ac86,34474290800000000000000000,Infinex,INX,18,108,141084,40091070,93104,10939366,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",736928
24327440,1769532215,0x991edc6fbaded248811f669db729e3a965e02285d5b4f7b9486809288c6b36d8,1084,0x452cddcd107a118169ccb60a774d6217b63df9bdebf31b9fa6b97075cea6a45d,0x72e93123e8b5d168246739cdc45360ea11209364,0xdef1b2d939edc0e4d35806c59b3166f790175afe,0x1b0003f72f83f53bfda82c997b82369f5640a2f8,500000000000000000000,Infinex,INX,18,82,77977,2337018312,51592,15673419,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",734100
24327485,1769532755,0x76f6f83915f593349f66a37bbdd9f70e85e51e62abd3f3f244f4e77618752fdf,1,0xf0fe6d883d3e5f3a774e7d3b258ca0ff3ba4c9dcd7ca3caddd6979df85fb1dbc,0x1b0003f72f83f53bfda82c997b82369f5640a2f8,0xdef1b2d939edc0e4d35806c59b3166f790175afe,0x4c654d89e95a3fc24d9dd51f4dc85c0cdc5761e2,500000000000000000000,Infinex,INX,18,21,54620,2254321953,49621,6763987,deprecated,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)",734055
